,Bloom Color,Soil Composition,Bloom Time,Soil Moisture,Chill Hours,Soil pH Level,Fruit Color,Taste,Fruit Size,Texture,Ripens/Harvest,Years to Bear,Shade/Sun,Zone Range,Pollination
ambrosia-apple,"Pink, White",Loamy,Early - Mid,Well Drained,700,6.0 - 7.0,Yellow,Sweet,Medium - Large,"Firm, Crisp",September,2 - 5,Full Sun,4 - 8,
apple-babe-genetic-dwarf-apple,"Pink, White",Loamy,Mid,Well Drained,700,6.0 - 7.0,Red,Sweet,Medium,Crisp,August,2 - 4,Full Sun,4 - 8,
baldwin-apple,White,Loamy,Mid - Late,Well Drained,,6.0 - 7.0,Red,,Medium - Large,Crisp,October,2 - 5,Full Sun,4 - 8,
ben-davis-apple,"Pink, Red, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Mild, Subacid",Medium - Large,"Firm, Coarse",Late September-early October,2 - 5,Full Sun,3 - 7,
braeburn-apple,White,Loamy,Early - Mid,Well Drained,700,6.0 - 7.0,Red,Tangy,Medium - Large,Crisp,Late October,2 - 5,Full Sun,5 - 8,
buckeye-gala-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,Sweet,Medium,"Fine, Crisp",Mid-late August,2 - 5,Full Sun,5 - 8,
candycrisp-apple,White,Loamy,Mid,Well Drained,800 - 1000,6.0 - 7.0,Yellow,Sweet,Large,Firm And Juicy,Early October,2 - 5,Full Sun,4 - 7,
chenango-strawberry-apple,White,Loamy,,Well Drained,400,6.0 - 7.0,Yellow,Sweet,Medium - Large,Firm,Early September,2 - 5,Full Sun,4 - 9,
chestnut-crabapple,White,,Early,Well Drained,,6.0 - 7.0,Red,"Astringent, Nutty, Sweet",Large - Extra Large,"Good Texture; Crisp, Juicy",Early September,2 - 5,Full Sun,3 - 8,
cortland-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,Tart,Large,Crisp,September,2 - 5,Full Sun,4 - 6,
coxs-orange-pippin-antique-apple,White,Loamy,Early,Well Drained,800,6.0 - 7.0,Yellow,Sweet,Medium,Firm,Mid-late September,2 - 5,Full Sun,4 - 8,
crimsoncrisp-apple,"Purple, Red, White",Loamy,Mid,Well Drained,800 - 1000,6.0 - 7.0,Red,Subacid,Medium,"Very Crisp, Moderately Juicy, Mild Acid",Early-mid September,2 - 5,Full Sun,5 - 8,
empire-apple,White,Loamy,Early,Well Drained,,6.0 - 7.0,Red,Sweet,Medium,Firm,September,2 - 5,Full Sun,4 - 7,
